id,state,year,deaths,lat,long,createdAt,updatedAt
118,MN,2018,8140,46.7296,-94.6859,,
119,MN,2019,8585,46.7296,-94.6859,,
120,MO,2015,13090,37.9643,-91.8318,,
121,MO,2016,14478,37.9643,-91.8318,,
122,MO,2017,16847,37.9643,-91.8318,,
123,MO,2018,18111,37.9643,-91.8318,,
124,MO,2019,19399,37.9643,-91.8318,,
125,MS,2015,3907,33,-90,,
126,MS,2016,3933,33,-90,,
127,MS,2017,3911,33,-90,,
128,MS,2018,3767,33,-90,,
129,MS,2019,3822,33,-90,,
130,MT,2015,1527,46.8797,-110.363,,
131,MT,2016,1477,46.8797,-110.363,,
132,MT,2017,1465,46.8797,-110.363,,
133,MT,2018,1290,46.8797,-110.363,,
134,MT,2019,1566,46.8797,-110.363,,
135,NC,2015,17006,35.7596,-79.0193,,
136,NC,2016,21361,35.7596,-79.0193,,
137,NC,2017,26214,35.7596,-79.0193,,
138,NC,2018,27332,35.7596,-79.0193,,
139,NC,2019,27184,35.7596,-79.0193,,
140,ND,2015,799,47.5515,-101.002,,
141,ND,2016,828,47.5515,-101.002,,
142,ND,2017,950,47.5515,-101.002,,
143,ND,2018,879,47.5515,-101.002,,
144,ND,2019,951,47.5515,-101.002,,
145,NE,2015,1547,41.4925,-99.9018,,
146,NE,2016,1425,41.4925,-99.9018,,
147,NE,2017,1512,41.4925,-99.9018,,
148,NE,2018,1861,41.4925,-99.9018,,
149,NE,2019,1747,41.4925,-99.9018,,
150,NH,2015,3554,43.1939,-71.5724,,
151,NH,2016,5256,43.1939,-71.5724,,
152,NH,2017,5524,43.1939,-71.5724,,
153,NH,2018,5514,43.1939,-71.5724,,
154,NH,2019,3792,43.1939,-71.5724,,
155,NJ,2015,15849,40.0583,-74.4057,,
156,NJ,2016,20055,40.0583,-74.4057,,
157,NJ,2017,28586,40.0583,-74.4057,,
158,NJ,2018,32488,40.0583,-74.4057,,
159,NJ,2019,33118,40.0583,-74.4057,,
160,NM,2015,6291,34.5199,-105.87,,
161,NM,2016,5881,34.5199,-105.87,,
162,NM,2017,6036,34.5199,-105.87,,
163,NM,2018,5995,34.5199,-105.87,,
164,NM,2019,6647,34.5199,-105.87,,
165,NV,2015,7342,38.8026,-116.419,,
166,NV,2016,8457,38.8026,-116.419,,
167,NV,2017,8748,38.8026,-116.419,,
168,NV,2018,8849,38.8026,-116.419,,
169,NV,2019,8917,38.8026,-116.419,,
170,NY,2015,19990,40.7128,-74.006,,
171,NY,2016,24820,40.7128,-74.006,,
172,NY,2017,28892,40.7128,-74.006,,
173,NY,2018,27236,40.7128,-74.006,,
174,NY,2019,25177,40.7128,-74.006,,
175,OH,2015,36893,40.4173,-82.9071,,
176,OH,2016,45503,40.4173,-82.9071,,
177,OH,2017,60794,40.4173,-82.9071,,
178,OH,2018,51571,40.4173,-82.9071,,
179,OH,2019,49600,40.4173,-82.9071,,
180,OK,2015,8944,36.9945,-95.6203,,
181,OK,2016,8913,36.9945,-95.6203,,
182,OK,2017,9867,36.9945,-95.6203,,
183,OK,2018,8624,36.9945,-95.6203,,
184,OK,2019,7467,36.9945,-95.6203,,
185,OR,2015,6129,44,-120.5,,
186,OR,2016,6002,44,-120.5,,
187,OR,2017,6199,44,-120.5,,
188,OR,2018,6089,44,-120.5,,
189,OR,2019,6937,44,-120.5,,
190,PA,2015,36077,41.2033,-77.1945,,
191,PA,2016,45980,41.2033,-77.1945,,
192,PA,2017,64683,41.2033,-77.1945,,
193,PA,2018,57391,41.2033,-77.1945,,
194,PA,2019,52046,41.2033,-77.1945,,
195,RI,2015,3517,41.5801,-71.4774,,
196,RI,2016,3978,41.5801,-71.4774,,
197,RI,2017,3986,41.5801,-71.4774,,
198,RI,2018,3906,41.5801,-71.4774,,
199,RI,2019,4056,41.5801,-71.4774,,
200,SC,2015,8692,33.8361,-81.1637,,
201,SC,2016,9569,33.8361,-81.1637,,
202,SC,2017,11678,33.8361,-81.1637,,
203,SC,2018,12542,33.8361,-81.1637,,
204,SC,2019,13147,33.8361,-81.1637,,
205,SD,2015,727,43.9695,-99.9018,,
206,SD,2016,809,43.9695,-99.9018,,
207,SD,2017,891,43.9695,-99.9018,,
208,SD,2018,732,43.9695,-99.9018,,
209,SD,2019,882,43.9695,-99.9018,,
210,TN,2015,16367,35.5175,-86.5804,,
211,TN,2016,18632,35.5175,-86.5804,,
212,TN,2017,20761,35.5175,-86.5804,,
213,TN,2018,21758,35.5175,-86.5804,,
214,TN,2019,23769,35.5175,-86.5804,,
215,TX,2015,30794,31.9686,-99.9018,,
216,TX,2016,32557,31.9686,-99.9018,,
217,TX,2017,34262,31.9686,-99.9018,,
218,TX,2018,35934,31.9686,-99.9018,,
219,TX,2019,35773,31.9686,-99.9018,,
220,US,2015,601011,37.0902,-95.7129,,
221,US,2016,696602,37.0902,-95.7129,,
222,US,2017,825837,37.0902,-95.7129,,
223,US,2018,825995,37.0902,-95.7129,,
224,US,2019,821765,37.0902,-95.7129,,
225,UT,2015,7433,39.4192,-111.951,,
226,UT,2016,8333,39.4192,-111.951,,
227,UT,2017,7485,39.4192,-111.951,,
